gate_id,gate_name,legacy_area,latitude,longitude,coordinate_status,confidence,coordinate_method,salinity_relevance,crs,source_1,source_2,verification_note
DTG001,Cống Vàm Giồng,"Vĩnh Hựu, Gò Công Tây, Tiền Giang cũ",10.302,106.547889,direct_published,High,Tọa độ công bố trực tiếp trong tài liệu quan trắc; đối chiếu mạng Kênh 14/Rạch Vàm Giồng.,Điểm theo dõi/vận hành ngăn mặn; liên quan trực tiếp vùng Gò Công.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng thủy lợi,Thông tư 18/2017/TT-BTNMT – địa danh thủy văn Tiền Giang,Có thể dùng ngay làm điểm tham chiếu; vẫn nên soi ảnh vệ tinh trước khi khóa vị trí tâm công trình.
DTG002,Cống Gò Công,"Long Chánh, Gò Công, Tiền Giang cũ",10.354444,106.648889,derived_endpoint,High-derived,Ghép điểm cuối Rạch Vàm Giồng với hồ sơ thủy lợi ghi tuyến Sông Tiền → Cống Gò Công.,Nút kiểm soát nước quan trọng trong vùng ngọt hóa Gò Công.,EPSG:4326,Quyết định 12/2023/QĐ-UBND Tiền Giang – danh mục công trình thủy lợi,Thông tư 18/2017/TT-BTNMT – tọa độ hai đầu Rạch Vàm Giồng,"Tọa độ suy ra từ đầu tuyến thủy văn, không phải mốc trắc địa tâm cống."
DTG003,Cống Long Uông,"Gò Công Đông, Tiền Giang cũ",10.322778,106.705,derived_endpoint,High-derived,Điểm cuối Kênh Salisette; hồ sơ thủy lợi ghi Rạch Vàm Giồng → Cống Long Uông.,Thuộc mạng kiểm soát nước phía Đông vùng Gò Công.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng kênh/cống,Thông tư 18/2017/TT-BTNMT – tọa độ Kênh Salisette,Nên căn chỉnh tâm cống bằng ảnh vệ tinh khi digitize chính thức.
DTG004,Cống Tân Thành,"Tân Thành, Gò Công Đông, Tiền Giang cũ",10.275556,106.734444,derived_endpoint,High-derived,Điểm cuối Kênh Champeaux; hồ sơ thủy lợi ghi Kênh Salisette → Cống Tân Thành.,"Cống phía ven biển, phù hợp bài toán ngăn mặn/lấy ngọt.",EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng kênh/cống,Thông tư 18/2017/TT-BTNMT – tọa độ Kênh Champeaux,Tọa độ đầu tuyến; cần đối chiếu ảnh vệ tinh trước khi coi là tâm công trình.
DTG005,Cống Cần Lộc,"Gò Công Đông, Tiền Giang cũ",10.404611,106.755444,direct_published,High,"Tọa độ công bố trực tiếp cho Cống Cần Lộc trong báo cáo quan trắc môi trường: 10°24′16,6″N; 106°45′19,6″E.","Gần khu vực cửa sông/ven biển, có ý nghĩa kiểm soát xâm nhập mặn.",EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng kênh/cống,Báo cáo kết quả quan trắc môi trường 2020 – điểm NM32 Cống Cần Lộc,Tọa độ công bố trực tiếp; vẫn nên đối chiếu ảnh vệ tinh để đặt marker đúng tâm thân cống.
DTG006,Cống Sơn Qui,"Gò Công, Tiền Giang cũ",10.395,106.684444,derived_endpoint,High-derived,Điểm cuối Sông Sơn Quy; hồ sơ thủy lợi ghi Sông Gò Công → Cống Sơn Qui.,Thuộc mạng điều tiết nước vùng Gò Công.,EPSG:4326,Quyết định 12/2023/QĐ-UBND Tiền Giang – danh mục tuyến/cống,Thông tư 18/2017/TT-BTNMT – tọa độ Sông Sơn Quy,Tọa độ suy ra theo quan hệ tuyến; cần kiểm tra hình thái công trình trên basemap.
DTG007,Cống Rạch Già,"Gò Công Đông/Gò Công Tây, Tiền Giang cũ",10.310556,106.658611,derived_endpoint,High-derived,Chọn đầu Rạch Già đối diện phía Kênh Salisette; hồ sơ ghi Kênh Salisette → Cống Rạch Già.,Thuộc mạng cống điều tiết vùng hạ lưu Gò Công.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng kênh/cống,Thông tư 18/2017/TT-BTNMT – tọa độ Rạch Già,Nên kiểm tra lại đúng phía đầu cống trên ảnh vệ tinh.
DTG008,Cống Bà Tài,"Tân Phú Đông, Tiền Giang cũ",10.286111,106.667222,derived_endpoint,High-derived,Đầu Rạch Bà Tài phía Sông Tiền; hồ sơ ghi Cống Bà Tài (Sông Tiền) → tuyến Bà Tài–Cả Thu.,Đã được sử dụng để đóng ngăn mặn bảo vệ sản xuất tại Tân Phú Đông.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng thủy lợi Tân Phú Đông,Thông tư 18/2017/TT-BTNMT – tọa độ Rạch Bà Tài,Phù hợp làm case study; nên xác nhận tâm cống trên satellite.
DTG009,Cống Bà Lắm,"Tân Phú Đông, Tiền Giang cũ",10.281667,106.693056,derived_endpoint,High-derived,Đầu Rạch Bà Lắm phía Sông Tiền; hồ sơ ghi Cống Bà Lắm (Sông Tiền) → Cầu Bà Lắm.,Đã được sử dụng trong vận hành ngăn mặn tại Tân Phú Đông.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng thủy lợi Tân Phú Đông,Thông tư 18/2017/TT-BTNMT – tọa độ Rạch Bà Lắm,Phù hợp case study mặn; cần kiểm tra satellite để snap chính xác.
DTG010,Cống Rạch Mương,"Tân Phú Đông, Tiền Giang cũ",10.253056,106.659722,derived_endpoint,High-derived,Ghép chuỗi Rạch Mương–Rạch Quẹo; hồ sơ ghi Cống Rạch Mương ở đầu tuyến phía Sông Cửa Trung.,Cống trực tiếp trên khu vực chịu tác động nước mặn Tân Phú Đông.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng thủy lợi Tân Phú Đông,Thông tư 18/2017/TT-BTNMT – tọa độ Rạch Mương/Rạch Quẹo,Đầu tuyến được suy luận từ cấu trúc liên thông; cần xác nhận ảnh vệ tinh.
DTG011,Cống Lý Quàn,"Tân Phú Đông, Tiền Giang cũ",10.238056,106.688333,derived_endpoint,Medium,Hồ sơ ghi Cống Lý Quàn tại Sông Cửa Trung; chọn đầu Rạch Lý Quàn gần hành lang Cửa Trung hơn.,Thuộc mạng cống ven khu vực Cửa Trung/Tân Phú Đông.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – mạng thủy lợi Tân Phú Đông,Thông tư 18/2017/TT-BTNMT – tọa độ Rạch Lý Quàn/Sông Cửa Trung,Bắt buộc rà lại trên ảnh vệ tinh trước khi dùng trong Decision Logic.
DTG012,Cống Vàm Tháp,"Gò Công Đông, Tiền Giang cũ",10.408083,106.760389,direct_published,High,"Tọa độ công bố trực tiếp cho Cống Vàm Tháp trong báo cáo quan trắc môi trường: 10°24′29,1″N; 106°45′37,4″E.",Thuộc mạng cống vùng Gò Công nhưng tọa độ tâm cống chưa được xác nhận trực tiếp.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – tuyến đến Cống Vàm Tháp,Báo cáo kết quả quan trắc môi trường 2020 – điểm NM33 Cống Vàm Tháp,Tọa độ công bố trực tiếp; thay thế hoàn toàn tọa độ proxy ở bản nháp trước.
DTG013,Cống Xuân Hòa,"Xuân Đông, Chợ Gạo, Tiền Giang cũ",,,pending_exact_coordinate,Pending,Đã xác nhận công trình và vai trò trong mạng thủy lợi nhưng chưa có tọa độ đủ tin cậy để điền.,Rất quan trọng đối với vận hành lấy ngọt/ngăn mặn vùng Gò Công.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – tuyến Xuân Hòa–Cầu Ngang,Các bản tin vận hành hạn–mặn địa phương,Ưu tiên số 1 để digitize thủ công bằng ảnh vệ tinh/QGIS.
DTG014,Cống Rạch Gốc,"Gò Công Đông, Tiền Giang cũ",,,pending_exact_coordinate,Pending,Đã xác nhận là cuối tuyến từ Kênh Champeaux về phía Cửa Tiểu nhưng chưa khóa được tọa độ tâm cống.,Có liên quan trực tiếp vận hành ngăn mặn khu vực hạ lưu.,EPSG:4326,Quyết định 04/2019/QĐ-UBND Tiền Giang – tuyến Rạch Gốc,Thông tư 18/2017/TT-BTNMT – địa danh thủy văn khu vực,Không nên tự suy đoán; cần satellite/manual digitizing.
