source_id,dataset_name,description,station_or_coverage,lon,lat,time_start,time_end,resolution,parameter,unit,format,file_path,license,access_method,notes,is_real_data
DS_001,MRC Conductivity – Tân Châu,Độ dẫn điện nước sông đo tại trạm Tân Châu,Tân Châu (VN_019803),105.2480164,10.80062008,1985-05-15,2023-12-15,monthly,Conductivity,mS/m,CSV/XLSX,data/raw/mrc_conductivity/Conductivity.Water Quality@VN_019803_[Tan Chau].csv,MRC Data Use License (xem data-use-license.pdf),Tải từ cổng dữ liệu MRC (request form),Dữ liệu thô chưa kiểm duyệt (Unverified). Có một số điểm bất thường (1998: 56.4 mS/m; 60.9 mS/m) cần xử lý ngoại lệ.,TRUE
DS_002,MRC Conductivity – Mỹ Tho,Độ dẫn điện nước sông đo tại trạm Mỹ Tho,Mỹ Tho (VN_019805),106.3529997,10.35912163,1985-05-15,2023-12-15,monthly,Conductivity,mS/m,CSV/XLSX,data/raw/mrc_conductivity/Conductivity.Water Quality@VN_019805_[My Tho].csv,MRC Data Use License (xem data-use-license.pdf),Tải từ cổng dữ liệu MRC (request form),Gần cửa sông – EC cao hơn đáng kể. Tương quan cao với mùa khô (tháng 3–5).,TRUE
DS_003,Open-Meteo Rainfall,Lượng mưa từ mô hình tái phân tích ERA5 (Open-Meteo API),Phủ trọn Đồng Tháp,105.0–107.0,10.0–11.5,Tùy year,Tùy year,daily/monthly,precipitation_sum,mm,JSON (API),data/raw/openmeteo_rainfall/,Open Source (CC BY 4.0) – miễn phí,API: openmeteo.com/v1/archive,Có thể lấy dữ liệu lùi đến 1940. Tổng hợp monthly bằng script. Dùng làm feature phụ cho mô hình ML.,TRUE
DS_004,DAHITI Water Level,Mực nước vệ tinh tại các trạm Tân Châu/Mỹ Tho,Tân Châu và Mỹ Tho,,,Tùy trạm,Tùy trạm,daily/monthly,water_level,m,CSV,data/raw/waterlevel/,DAHITI,Tải từ cổng DAHITI,Tải tự động qua fetch_dahiti.py.,TRUE
DS_004B,GloFAS Discharge,Lưu lượng dòng chảy từ Copernicus LISFLOOD,Tân Châu (Upstream),105.2,10.8,1985-01-01,2023-12-31,daily/monthly,discharge,m3/s,NetCDF,data/raw/waterlevel/glofas_tanchau/,Copernicus,CDS API,Tải tự động qua fetch_glofas.py,TRUE
DS_004C,UHSLC Tide,Mực nước triều cao nhất trong tháng,Vũng Tàu (Coastal),107.0,10.3,1985-01-01,2023-12-31,hourly/monthly,tide_max,m,CSV,data/raw/waterlevel/,UHSLC,UHSLC API,Thủy triều chi phối xâm nhập mặn.,TRUE
DS_005,Ranh giới tỉnh Đồng Tháp mới,Shapefile/GeoJSON ranh giới hành chính tỉnh Đồng Tháp sau sáp nhập (Đồng Tháp + Tiền Giang),Cấp tỉnh,,,2025,2025,static,administrative_boundary,WGS84,GeoJSON,data/raw/spatial/dong_thap_boundary.geojson,Dữ liệu công cộng (Bộ TN&MT / GADM),Tải từ GADM v4.1 (gadm.org),"Đã dissolve thành 1 polygon (Đồng Tháp + Tiền Giang cũ).",FALSE
DS_006,Vị trí trạm quan trắc (Thật),Tọa độ các trạm quan trắc EC,2 trạm,,,,static,station_location,WGS84,GeoJSON,data/raw/spatial/stations_observed.geojson,MRC,Tổng hợp thủ công,"2 trạm thật (Tân Châu, Mỹ Tho)",TRUE
DS_006B,Vị trí trạm quan trắc (Giả lập),Tọa độ các trạm giả lập để test thuật toán không gian IDW,3 trạm,,,,static,station_location,WGS84,GeoJSON,data/raw/spatial/stations_synthetic_demo.geojson,Tổng hợp,Tổng hợp thủ công,"3 trạm giả lập để demo, không dùng đánh giá khoa học cuối cùng",FALSE
DS_007,Vị trí cống thủy lợi,Tọa độ và thông số các cống thủy lợi quan trọng trong khu vực,15 cống,,,,static,sluice_gate_location,WGS84,GeoJSON/CSV,data/raw/spatial/sluice_gates_dong_thap_new.geojson,Nội bộ,Căn chỉnh từ Google Maps,"Bộ dữ liệu cống Đồng Tháp mới (15 điểm, 12 có tọa độ, 3 pending).",MIXED
